anime_id,title,genre,type,episodes,rating,members,set
32983,natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,"{'TV', 'Drama', 'Shoujo', 'Supernatural', 'Slice of Life', 'Fantasy'}"
5258,hajime no ippo: new challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,"{'TV', 'Shounen', 'Drama', 'Comedy', 'Sports'}"
28957,mushishi zoku shou: suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,"{'Adventure', 'Movie', 'Seinen', 'Historical', 'Mystery', 'Supernatural', 'Slice of Life', 'Fantasy'}"
11665,natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,"{'TV', 'Drama', 'Shoujo', 'Supernatural', 'Slice of Life', 'Fantasy'}"
431,howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,"{'Adventure', 'Drama', 'Romance', 'Movie', 'Fantasy'}"
11741,fate/zero 2nd season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,"{'TV', 'Action', 'Thriller', 'Supernatural', 'Fantasy'}"
31757,kizumonogatari ii: nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,"{'Vampire', 'Action', 'Movie', 'Supernatural', 'Mystery'}"
19,monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,"{'TV', 'Drama', 'Police', 'Thriller', 'Horror', 'Mystery', 'Seinen', 'Psychological'}"
12365,bakuman. 3rd season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,"{'TV', 'Shounen', 'Drama', 'Romance', 'Comedy'}"
1535,death note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,"{'TV', 'Police', 'Thriller', 'Supernatural', 'Mystery', 'Psychological'}"
32366,gintama°: aizome kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,"{'Parody', 'Comedy', 'OVA'}"
30654,ansatsu kyoushitsu (tv) 2nd season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,"{'TV', 'Shounen', 'School', 'Action', 'Comedy'}"
20583,haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,"{'TV', 'Shounen', 'Drama', 'School', 'Comedy', 'Sports'}"
19647,hajime no ippo: rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,"{'TV', 'Shounen', 'Drama', 'Comedy', 'Sports'}"
4282,kara no kyoukai 5: mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,"{'Drama', 'Action', 'Romance', 'Thriller', 'Movie', 'Supernatural', 'Mystery'}"
10379,natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,"{'TV', 'Drama', 'Shoujo', 'Supernatural', 'Slice of Life', 'Fantasy'}"
22135,ping pong the animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,"{'Psychological', 'Sports', 'TV', 'Seinen'}"
21329,mushishi special: hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,"{'Adventure', 'Special', 'Seinen', 'Historical', 'Mystery', 'Supernatural', 'Slice of Life', 'Fantasy'}"
31043,boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,"{'TV', 'Seinen', 'Mystery', 'Supernatural', 'Psychological'}"
7785,yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,"{'Psychological', 'TV', 'Mystery', 'Romance'}"
3297,aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,"{'TV', 'Shounen', 'Sci-Fi', 'Slice of Life', 'Fantasy'}"
30709,kamisama hajimemashita: kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,"{'OVA', 'Demons', 'Comedy', 'Supernatural', 'Shoujo', 'Fantasy'}"
6114,rainbow: nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,"{'TV', 'Drama', 'Thriller', 'Seinen', 'Historical'}"
31240,re:zero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,"{'TV', 'Drama', 'Thriller', 'Psychological', 'Fantasy'}"
4565,tengen toppa gurren lagann movie: lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,"{'Super Power', 'Space', 'Sci-Fi', 'Action', 'Movie', 'Mecha'}"
5300,zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,"{'TV', 'Drama', 'Shoujo', 'Supernatural', 'Slice of Life', 'Fantasy'}"
9989,ano hi mita hana no namae wo bokutachi wa mada shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,"{'Drama', 'Slice of Life', 'TV', 'Supernatural'}"
24415,kuroko no basket 3rd season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,"{'TV', 'Shounen', 'School', 'Comedy', 'Sports'}"
11577,steins;gate movie: fuka ryouiki no déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,"{'Movie', 'Sci-Fi', 'Thriller'}"
10408,hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,"{'Drama', 'Romance', 'Movie', 'Supernatural', 'Shoujo'}"
28171,shokugeki no souma,"Ecchi, School, Shounen",TV,24,8.61,348951,"{'Ecchi', 'School', 'TV', 'Shounen'}"
32995,yuri!!! on ice,"Comedy, Sports",TV,12,8.61,103178,"{'Sports', 'Comedy', 'TV'}"
21899,gintama: yorinuki gintama-san on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,"{'Shounen', 'Sci-Fi', 'Action', 'Movie', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
26055,jojo no kimyou na bouken: stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,"{'Adventure', 'TV', 'Shounen', 'Drama', 'Action', 'Supernatural'}"
7472,gintama movie: shinyaku benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,"{'Shounen', 'Sci-Fi', 'Action', 'Movie', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
777,hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,"{'OVA', 'Vampire', 'Action', 'Military', 'Horror', 'Seinen', 'Supernatural'}"
22535,kiseijuu: sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,"{'TV', 'Drama', 'Sci-Fi', 'Action', 'Horror', 'Seinen', 'Psychological'}"
28735,shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,"{'Josei', 'Drama', 'TV', 'Historical'}"
12431,uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,"{'Space', 'TV', 'Sci-Fi', 'Comedy', 'Seinen', 'Slice of Life'}"
28805,bakemono no ko,"Adventure, Supernatural",Movie,1,8.58,80825,"{'Movie', 'Adventure', 'Supernatural'}"
578,hotaru no haka,"Drama, Historical",Movie,1,8.58,174878,"{'Movie', 'Drama', 'Historical'}"
16894,kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,"{'TV', 'Shounen', 'School', 'Comedy', 'Sports'}"
5028,major s5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,"{'TV', 'Drama', 'Romance', 'Comedy', 'Sports'}"
21,one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,"{'Super Power', 'Adventure', 'TV', 'Shounen', 'Drama', 'Action', 'Comedy', 'Fantasy'}"
801,ghost in the shell: stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,"{'TV', 'Police', 'Sci-Fi', 'Action', 'Military', 'Mystery', 'Seinen', 'Mecha'}"
31933,jojo no kimyou na bouken: diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,"{'Adventure', 'TV', 'Shounen', 'Drama', 'Action', 'Comedy', 'Supernatural'}"
5205,kara no kyoukai 7: satsujin kousatsu (kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,"{'Action', 'Thriller', 'Romance', 'Movie', 'Supernatural', 'Mystery'}"
17389,kingdom 2nd season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,"{'TV', 'Action', 'Military', 'Seinen', 'Historical'}"
170,slam dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,"{'TV', 'Shounen', 'Drama', 'School', 'Comedy', 'Sports'}"
10162,usagi drop,"Josei, Slice of Life",TV,11,8.56,194855,"{'Josei', 'Slice of Life', 'TV'}"
18617,girls und panzer der film,"Military, School",Movie,1,8.55,25641,"{'Movie', 'School', 'Military'}"
32182,mob psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,"{'TV', 'Action', 'Comedy', 'Supernatural', 'Slice of Life'}"
877,nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,"{'TV', 'Drama', 'Romance', 'Music', 'Comedy', 'Slice of Life', 'Shoujo'}"
2251,baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,"{'TV', 'Action', 'Comedy', 'Seinen', 'Historical', 'Mystery', 'Supernatural'}"
24687,mushishi zoku shou: odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,"{'Adventure', 'Special', 'Seinen', 'Historical', 'Mystery', 'Supernatural', 'Slice of Life', 'Fantasy'}"
16498,shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,"{'Super Power', 'TV', 'Shounen', 'Drama', 'Action', 'Fantasy'}"
10030,bakuman. 2nd season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,"{'TV', 'Shounen', 'Drama', 'Romance', 'Comedy'}"
5941,cross game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,"{'TV', 'Drama', 'School', 'Romance', 'Comedy', 'Sports'}"
30346,doukyuusei (movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,"{'School', 'Romance', 'Movie', 'Slice of Life', 'Shounen Ai'}"
3784,evangelion: 2.0 you can (not) advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,"{'Movie', 'Mecha', 'Sci-Fi', 'Action'}"
13125,shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,"{'TV', 'Drama', 'Sci-Fi', 'Horror', 'Supernatural', 'Mystery'}"
12029,uchuu senkan yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,"{'Space', 'OVA', 'Drama', 'Sci-Fi', 'Action', 'Military'}"
14397,chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,"{'TV', 'Drama', 'Game', 'Josei', 'Sports', 'Slice of Life'}"
10087,fate/zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,"{'TV', 'Supernatural', 'Action', 'Fantasy'}"
14719,jojo no kimyou na bouken (tv),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,"{'Adventure', 'TV', 'Shounen', 'Vampire', 'Action', 'Supernatural'}"
9756,mahou shoujo madoka★magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,"{'TV', 'Drama', 'Thriller', 'Psychological', 'Magic'}"
10165,nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,"{'TV', 'School', 'Comedy', 'Slice of Life'}"
13601,psycho-pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,"{'TV', 'Police', 'Sci-Fi', 'Action', 'Psychological'}"
22789,barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,"{'Slice of Life', 'Comedy', 'TV'}"
30230,diamond no ace: second season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,"{'TV', 'Shounen', 'School', 'Comedy', 'Sports'}"
18115,magi: the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,"{'Adventure', 'TV', 'Shounen', 'Action', 'Magic', 'Fantasy'}"
11981,mahou shoujo madoka★magica movie 3: hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,"{'Drama', 'Thriller', 'Movie', 'Psychological', 'Magic'}"
11917,major: world series,"Comedy, Drama, Sports",OVA,2,8.5,13405,"{'Drama', 'Sports', 'Comedy', 'OVA'}"
205,samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,"{'Adventure', 'TV', 'Shounen', 'Action', 'Samurai', 'Comedy', 'Historical'}"
32282,shokugeki no souma: ni no sara,"Ecchi, School, Shounen",TV,13,8.5,185015,"{'Ecchi', 'School', 'TV', 'Shounen'}"
6594,katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,"{'Adventure', 'TV', 'Action', 'Romance', 'Historical', 'Martial Arts'}"
11979,mahou shoujo madoka★magica movie 2: eien no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,"{'Drama', 'Thriller', 'Movie', 'Psychological', 'Magic'}"
7655,major s6,"Comedy, Drama, Sports",TV,25,8.49,24788,"{'Drama', 'Sports', 'Comedy', 'TV'}"
2246,mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,"{'TV', 'Demons', 'Horror', 'Historical', 'Mystery', 'Seinen', 'Supernatural', 'Fantasy'}"
25835,shirobako,"Comedy, Drama",TV,24,8.49,146895,"{'Drama', 'Comedy', 'TV'}"
2921,ashita no joe 2,"Drama, Sports",TV,47,8.48,6259,"{'Drama', 'Sports', 'TV'}"
136,hunter x hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,"{'Super Power', 'Adventure', 'TV', 'Shounen', 'Action'}"
30503,noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,"{'Adventure', 'TV', 'Shounen', 'Action', 'Supernatural'}"
12531,sakamichi no apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,"{'TV', 'Drama', 'School', 'Romance', 'Music', 'Josei'}"
523,tonari no totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,"{'Movie', 'Comedy', 'Adventure', 'Supernatural'}"
467,ghost in the shell: stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,"{'TV', 'Police', 'Sci-Fi', 'Action', 'Military', 'Seinen', 'Mecha'}"
572,kaze no tani no nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,"{'Movie', 'Adventure', 'Fantasy'}"
19815,no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,"{'Adventure', 'TV', 'Game', 'Ecchi', 'Comedy', 'Supernatural', 'Fantasy'}"
2559,romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,"{'Adventure', 'TV', 'Drama', 'Historical', 'Slice of Life'}"
392,yuu☆yuu☆hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,"{'TV', 'Shounen', 'School', 'Demons', 'Action', 'Comedy', 'Martial Arts', 'Fantasy'}"
486,kino no tabi: the beautiful world,"Action, Adventure, Slice of Life",TV,13,8.46,102822,"{'TV', 'Slice of Life', 'Adventure', 'Action'}"
11771,kuroko no basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,"{'TV', 'Shounen', 'School', 'Comedy', 'Sports'}"
1698,nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,"{'TV', 'Drama', 'Romance', 'Music', 'Comedy', 'Josei', 'Slice of Life'}"
5341,ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,"{'Adventure', 'TV', 'Romance', 'Historical', 'Fantasy'}"
25781,shingeki no kyojin: kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,"{'OVA', 'Action', 'Supernatural', 'Shoujo', 'Fantasy'}"
10863,steins;gate: oukoubakko no poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,"{'Sci-Fi', 'Special', 'Thriller'}"
28701,fate/stay night: unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,"{'TV', 'Shounen', 'Action', 'Supernatural', 'Magic', 'Fantasy'}"
5420,kemono no souja erin,"Drama, Fantasy",TV,50,8.45,36751,"{'Drama', 'TV', 'Fantasy'}"
9260,kizumonogatari i: tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,"{'Movie', 'Vampire', 'Supernatural', 'Mystery'}"
32,neon genesis evangelion: the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,"{'Drama', 'Dementia', 'Sci-Fi', 'Movie', 'Psychological', 'Mecha'}"
4224,toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,"{'TV', 'School', 'Romance', 'Comedy', 'Slice of Life'}"
2236,toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,"{'Adventure', 'Drama', 'Sci-Fi', 'Romance', 'Movie'}"
2685,tsubasa: tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,"{'Adventure', 'Shounen', 'OVA', 'Drama', 'Action', 'Romance', 'Fantasy'}"
31181,owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,"{'Supernatural', 'Comedy', 'TV', 'Mystery'}"
45,rurouni kenshin: meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,"{'Adventure', 'TV', 'Action', 'Romance', 'Comedy', 'Samurai', 'Historical'}"
2418,stranger: mukou hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,"{'Adventure', 'Action', 'Movie', 'Samurai', 'Historical'}"
1365,detective conan movie 06: the phantom of baker street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,"{'Adventure', 'Shounen', 'Police', 'Movie', 'Mystery'}"
22297,fate/stay night: unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,"{'TV', 'Shounen', 'Action', 'Supernatural', 'Magic', 'Fantasy'}"
627,major s1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,"{'TV', 'Shounen', 'Drama', 'Comedy', 'Sports'}"
10937,mobile suit gundam: the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,"{'Space', 'Shounen', 'OVA', 'Sci-Fi', 'Action', 'Military', 'Mecha'}"
23755,nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,"{'Adventure', 'TV', 'Shounen', 'Action', 'Ecchi', 'Supernatural', 'Fantasy'}"
4081,natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,"{'TV', 'Drama', 'Shoujo', 'Supernatural', 'Slice of Life', 'Fantasy'}"
4155,one piece film: strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,"{'Adventure', 'Shounen', 'Drama', 'Action', 'Movie', 'Comedy', 'Fantasy'}"
1889,higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,"{'TV', 'Thriller', 'Supernatural', 'Mystery', 'Psychological'}"
137,hunter x hunter ova,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,"{'Super Power', 'Adventure', 'OVA', 'Shounen', 'Action'}"
139,hunter x hunter: greed island final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,"{'Super Power', 'Adventure', 'OVA', 'Shounen', 'Action'}"
23317,kuroshitsuji: book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,"{'Shounen', 'OVA', 'Demons', 'Comedy', 'Historical', 'Mystery', 'Supernatural', 'Fantasy'}"
558,major s2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,"{'TV', 'Shounen', 'Drama', 'Comedy', 'Sports'}"
5040,one outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,"{'Psychological', 'Sports', 'TV', 'Seinen'}"
57,beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,"{'TV', 'Shounen', 'Drama', 'Music', 'Comedy', 'Slice of Life'}"
33,berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,"{'Adventure', 'TV', 'Drama', 'Demons', 'Action', 'Military', 'Romance', 'Horror', 'Seinen', 'Supernatural', 'Fantasy'}"
5,cowboy bebop: tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,"{'Space', 'Drama', 'Sci-Fi', 'Action', 'Movie', 'Mystery'}"
1842,major s3,"Drama, Shounen, Sports",TV,26,8.4,29528,"{'Drama', 'Sports', 'TV', 'Shounen'}"
